
;アイテムID0は開けておく
;～199,一般購入しないもろもろ,,
;10～,消費アイテム,,
10,奴隶候补设定变更票,2000000,		;フリー以外でも種族設定とか変更可能　世界観への落とし込みが思いつかない
	;11,リネームカード,1000000,
12,龙之珠,0,

;消費しない　ID指定ガバ（問題になったら揃える）
13,死灵之书,0,			;魔術を習得できるようになる本。,
14,触手生物生态图鉴,0
15,魅魔分发的薄本,0
	;16,阿尔・阿吉夫,0
17,高级药学台,0

;40～,魔界奶牛设备,,
;魔界農協で仕入れ、1日に1消費する
;10日分単位で購入可能
40,牛地板垫,500,
41,供水机过滤器,500,

;50～,設備アイテム,,
;50～,魔力貯蔵器と付属品,,
50,家用魔力储存器,0,
51,商用魔力储存器,0,
52,大容量魔力储存器,500000,
53,魔改造魔力储存器,0,
54,魔力补给装置,100000,

;60～,奴隷用もろもろ,,
60,魔力枷锁,100000,
61,灵力抽出装置,100000,	;放置していても自動で搾り取ってくれる搾乳器兼抽出装置。
62,小型灵力抽出装置,0,		;霊力を母乳と共に搾り取る装置。これは手動型。

;70～,ホームセンターで買う工具とか,,
;イベント入手に変更
70,发型工具套装,0,		;髪のアレンジに必要
71,工具套装,0,	;快楽搾乳器を買う＝材料買ってきて作るのに必要。そらまあこんなもん市販してないし？
72,裁缝工具套装,0,		;服を直したりサイズを直したりするのに必要。
73,魔法剪刀,0,		;淫乱衣服の形状変更が可能になる


;選択肢の関係で80～はちょっと手間になるので欠番推奨


;100～,大型ペット,,
100,堕落天马,3000000,
101,双头犬,3000000,
102,魔界仓鼠,3000000,
	;103,小猫,3000000,
	;104,魔界羊,3000000,

	;110～,小型ペット,,
	;110,芬波梅,2000000,
	;111,魔界小型猫,2000000,


;120～,不動産設備,,
120,家庭浴池,1000000,
121,大浴场,5000000,
122,天然温泉,100000,		;工事費用
123,事务所扩建,3000000
124,奴隶寮,3000000,
125,奴隶寮扩建,500000,
126,系统化厨房,300000,
127,宠物小屋,500000,
128,牛舍,2000000,

;150～,何の意味もないもの,,
150,玛诺的内衣,0,



;200～,消耗品,,
;200～,家居中心,,
200,营养饮料,300,		;グリフォンのマークの会社が販売する第二種医薬部外品。体力を回復、1日2本以上は効果が激減、2日続けて飲むと半減
201,衣服修理布,1000,			;服を直すのに必要。必要な色を買ったってことにしようぜ。
202,染发剂,10000,		;髪色を変える場合に消費。不思議だが効果は永続。
203,彩色隐形眼镜,20000,		;目の色を変える場合に消費。不思議だが使い捨てではない。
204,家畜管理标签,500,		;家畜の耳につけるタグ。ニンゲンの耳につけて名前や身分を上書きしてしまうことが可能。
205,花草茶,500,		;魔界産ハーブによる超強力なリラックス効果のあるお茶。理性、精神力を回復＆乳牛堕ちを減少させることができる。

;250～,成人商店,,
250,润滑液,200,
251,媚药,50000,
252,避孕套,300,

;300～,ペットショップ,,
300,谜肉肉干,500,
	;301,中间,500,
302,烤魔界葵花籽,500,
303,精力萝卜,500,
	;304,魔界芋头,500,

320,趁手的棍子,100,
	;321,顽皮,400,
322,飞盘,400,

