
;人名ランダム部分はeraGVTのものを参考にさせていただきました。
;追記したときはキャラメイクフォルダ内EBRのSTR_MAXを書き換える必要があったりします,

;もくじ
	;0～,ランダムキャラ生成用名称
;0～,身長ランダム
;50～,体型ランダム
;100～,肤色
;150～,目の色
;200～,发色
;300～,头发特征
;500～,发型
;800～,瞳孔形状

;1000～,通常種族
;1200～,特殊種族（ジョブ・身分固定不可）
;1300～,貧乳以下のおっぱい弾力
;1350～,並乳以上のおっぱい弾力

;1500～,ペニス呼び方前半：キャラメイク時点で候補の分
;1550～,ペニス呼び方後半：堕ちた後に躾で候補に上がるまたはランダムでは出ないもの
;1600～,膣呼び方前半
;1650～,膣呼び方後半
;1700～,アナル呼び名前半
;1750～,アナル呼び名後半
;1800～,第一人称
;1850～,陷落前第二人称
;2000～,眼睛特征

	;2100～,スラング外表記
;2100～,乳房
;2150～,母乳
;2200～,魔力母乳（魔力+）
;2250～,膣
;2300～,肛门
;2350～,阴茎
;2400～,阴蒂
;2450～,精液

	;3000～3099,性格
;3200～,身份

	;3300～,料理
;3300～,メイン食材,
;3400～,サブ食材,
;3500～,通常料理レシピ,
;3550～,母乳料理レシピ,

	;3800～,FLAGの呼び出し
;3800～,纳税
;3810～,魔界全体のレベル
;3820～,傭兵アルバイト
;3830～,割合設定
;3840～,倍率コンフィグ
;3900～,曜日
;3910～,時間帯
;3920～,感度・感覚用部位
;3930～,拘束
;3950～,おっぱい優先の感度・感覚用部位

	;4000～,职业
;4000～,通常職またはジョブ
;4000～,魔界水晶狙い＝金目当ての場合,
;4100～,魔界植物目当て,
;4200～,手柄目当て,
;4300～,人質奪還,
;4400～,ゲート事故,
;4500～,ガチで攻め込んできた　軍隊か精鋭部隊動かしてる,
;4600～,競売所に囚われた貴族
;4700～,ランダム参照しないジョブ

	;5000～,資料室で使う項目
;5000～,世界観
;5100～,种族
;5200～,魔界の住民

	;5500～,身分・名前候補文面
;5500～,欧派
;5550～,ほか性器・性行為,
;5600～,性奴隷、家畜、所有物

;5800～,风味牛奶

	;6000～,FLAG呼び出し用
;6000～,汚れに使う
;6100～,汎用口上の識別名

	;6300～,固有名称候補
;6300～,あなたの呼ばせ方
;6400～,CSV読み込みに使う出典作品名

	;6500～,文字列に-=が使えなかったのでフラグ参照のランダム候補並べる
;6500～,身高
;6510～,种族
;6550～,胸围大小
;6560～,体型
;6570～,乳头颜色
;6580～,肤色
;6590～,性经验
;6600～,種族単純並べ：種族特徴用

;6640～,スラング外表記用
;6650～,セーブデータ表示用
;6660～,衣服

	;6700～6799,アイテム色柄変更用
;6700～,一般
;6720～,特殊
;6740～,柄
;6760～,和服とかの柄
;6780～,乳贴
;6800～,メガネ形状
;6820～,下着用

;6850～,阴毛
;6860～,ハードモード設定用半減

	;7000～,自由記述用ジョブ羅列
;7000～,近接物理系ジョブ
;7050～,遠隔物理系ジョブ
;7100～,魔術士系ジョブ
