
;100～199はキャラメイク完了時に0～99をバックアップする
;～99,CSV指定の変更できるフラグ,
0,身高,
1,口上表示,
2,口上图案,
3,专用设置／口上,
4,专用设置／事件,
5,专用设置／头像显示函数,
6,有调教画面,
7,第一人称是名字,
8,性知识,			;TALENTの代わりにとりあえず確保

10,颜色编码／发,
11,颜色编码／右目,
12,颜色编码／左目,
13,颜色编码／乳头,
14,颜色编码／口上,



;～199,初期値,
;参照するものは書いておく,,
110,初始值／颜色编码／头发,
111,初始值／颜色编码／右眼,
112,初始值／颜色编码／左眼,
113,初始值／颜色编码／乳头,
114,初始值／颜色编码／口上,





;～299,CSV指定の変更しないフラグ,
200,级别,
201,同伴级别,
202,同伴规模,
203,魔力量,
204,庞大的魔力,
205,非战斗职业,
206,上位种族,
207,进入魔界的目的,
	;208,生活水準,
209,dat创建版本

220,母乳容量修正值,
221,母乳价格奖励,
222,体力补正,
223,灵力补正,
224,气力修正,
225,灵力固定,
226,魔力固定,
227,气力固定,
228,性经验手动输入已完成

	;地上で面識があったキャラの友好度
	;30枠用意,CSTRの＜400,面識ありキャラ／フルネーム1＞から連動してね
	;230,面識ありキャラ／初期友好度1,
	
	;～269,外見年齢と他の奴隷の呼び方
	260,外表年龄
	;261,年下判定する外見年齢
	;262,年上判定する外見年齢
	;263,奴隷向け二人称に名前付けBIT

;～399,一般使用,
;～319,記録,
300,ID,
301,捕获日,
302,陷落日,
	;303,主人公的孩子,
304,母亲ID

;～339,母乳記録,
320,出货母乳／合计量,
321,出货母乳／一日最大量,
322,出货母乳／合计金额,
323,出货母乳／一日最大额,
324,被主人公吸走的母乳合计,
325,总搾乳量,

;～359,蓄積量,
340,灵力蓄积量,
341,魔力蓄积量,
342,预计出货母乳量,
	;343,朝搾り母乳量,
	;344,豊穣蓄積量,
345,魔力定着

;～449,状態,
400,可以工作,
401,可以调教,
402,日程设定可能／事务,
403,日程设定可能／调教,
404,调教对象ID,
405,追踪对象,			;0：奴隷　1：追跡中　2：捕獲凌辱中　3：輸送中
406,牛舍号码,
407,宿舍号,
408,无抵抗,
409,虚脱,
410,追踪者,
411,追踪人数,
412,轮奸次数,
413,妊娠日数,
